u_id,tuition,in_state
116226,19950,0
116439,9768,0
116439,1104,1
116846,9720,0
117052,8664,0
117052,1104,1
117104,18240,0
117140,45850,0
117168,34600,0
117195,9072,0
117195,1116,1
117247,8472,0
117247,1104,1
117274,9072,0
117274,1104,1
117283,9150,0
117520,NULL,0
117557,11400,0
117575,16848,0
117627,33912,0
117636,33552,0
117645,11356,0
117645,1472,1
117672,14029,0
117690,9828,0
117690,1196,1
117706,9828,0
117706,1196,1
117715,9828,0
117715,1196,1
117724,9828,0
117724,1196,1
117733,9828,0
117733,1196,1
117751,31950,0
117788,9828,0
117788,1196,1
117803,NULL,0
117867,9828,0
117867,1196,1
117894,8304,0
117894,1288,1
117946,54630,0
118347,9750,0
118347,1380,1
118541,35158,0
118684,8850,0
118684,1380,1
118693,48260,0
118718,7800,0
118718,1104,1
118772,8472,0
118772,1104,1
118912,8400,0
118912,1104,1
118930,10080,0
118930,1380,1
118976,7228,0
118976,1196,1
119058,44766,0
119067,8280,0
119067,1104,1
119137,8092,0
119137,1340,1
119164,10032,0
119164,1288,1
119173,45388,0
119216,11250,0
119216,1380,1
119270,24525,0
119331,9336,0
119331,1104,1
119605,13320,0
119678,NULL,0
119775,29691,0
120166,7920,0
120184,15792,0
120254,59970,0
120290,7080,0
120290,1104,1
120342,8664,0
120342,1104,1
120403,49100,0
120421,8092,0
120421,1340,1
120537,34500,0
120698,17714,0
120768,11482,0
120795,16605,0
120838,8137,0
120865,32655,0
120883,52918,0
120953,10590,0
120953,1380,1
120971,10584,0
120971,1288,1
121044,9504,0
121044,1104,1
121150,62390,0
121257,60282,0
121275,15200,0
121309,40400,0
121345,58818,0
121363,9510,0
121363,1380,1
121619,8712,0
121619,1104,1
121628,15157,0
121691,55328,0
121707,8088,0
121707,1104,1
121886,9812,0
121886,1316,1
121901,9960,0
121901,1380,1
122117,8016,0
122180,9480,0
122180,0,1
122205,9768,0
122205,1288,1
122296,47931,0
122339,7440,0
122339,1104,1
122375,7400,0
122375,1104,1
122384,7400,0
122384,1104,1
122409,17622,0
122409,5742,1
122436,53810,0
122506,51300,0
122597,17622,0
122597,5742,1
122612,54980,0
122649,NULL,0
122658,9072,0
122658,1288,1
122728,36000,0
122746,9408,0
122746,1288,1
122755,17622,0
122755,5742,1
122791,9464,0
122791,1288,1
122889,8760,0
122889,1104,1
122931,56880,0
122977,9048,0
122977,1104,1
123013,9234,0
123013,1242,1
123095,20856,0
123165,60494,0
123217,8232,0
123217,1288,1
123280,13600,0
123299,8184,0
123299,1104,1
123341,8496,0
123341,1104,1
123448,13500,0
123457,35980,0
123484,9780,0
123484,1380,1
123509,9434,0
123509,1288,1
123527,4980,0
123527,700,1
123554,53372,0
123563,6960,0
123563,1104,1
123572,17622,0
123572,5742,1
123633,11865,0
123642,12000,0
123651,38000,0
123800,9436,0
123800,1288,1
123916,26250,0
123943,38255,0
123952,49490,0
123961,63468,0
123970,18710,0
124113,7968,0
124113,1104,1
124283,26520,0
124292,27000,0
124487,8964,0
125028,8092,0
125028,1340,1
125037,NULL,0
125091,10102,0
125091,1402,1
125170,8464,0
125170,1104,1
125231,10552,0
125462,10110,0
125462,1380,1
125471,9828,0
125471,1196,1
125499,9210,0
125499,1380,1
125718,15600,0
125727,48840,0
125763,48924,0
125897,43392,0
126012,39500,0
126049,1100,0
126076,15000,0
126119,7464,0
126119,1104,1
126182,18144,0
126182,6072,1
126207,10632,0
126207,2736,1
126289,15102,0
126289,3680,1
126359,13819,0
126562,25992,0
126562,8736,1
126580,20906,0
126580,10990,1
126605,16576,0
126614,37376,0
126614,11004,1
126669,25751,0
126678,64554,0
126711,11520,0
126711,4680,1
126748,6258,0
126748,3754,1
126775,39600,0
126775,17520,1
126818,29861,0
126818,9903,1
126827,12036,0
126863,15556,0
126863,3754,1
126942,15403,0
126942,3754,1
126979,11880,0
127060,55260,0
127185,17712,0
127185,7200,1
127200,15404,0
127200,3754,1
127273,19824,0
127389,6258,0
127389,3754,1
127556,21983,0
127556,8261,1
127565,26277,0
127565,8445,1
127617,15403,0
127617,3754,1
127653,34400,0
127714,9552,0
127732,7038,0
127732,4692,1
127741,21570,0
127741,8180,1
127778,6258,0
127778,3754,1
127820,15403,0
127820,3754,1
127884,15403,0
127884,3754,1
127909,15408,0
127909,3744,1
127918,40830,0
127945,20355,0
128106,13749,0
128106,6670,1
128151,7800,0
128151,3900,1
128258,7800,0
128258,4680,1
128328,NULL,0
128391,18960,0
128391,6936,1
128498,36682,0
128577,12552,0
128577,4176,1
128586,9800,0
128744,32860,0
128771,19358,0
128771,6470,1
128780,10056,0
128780,7656,1
128902,62235,0
129002,14576,0
