u_id,assoc,sport
182980,NCAA,WBB
182980,NCAA,MBA
182980,NCAA,MTR
182980,NCAA,WTR
183026,NCAA,MBB
183026,NCAA,WBB
183026,NCAA,MBA
183026,NCAA,MTR
183026,NCAA,WTR
183044,NCAA,MFB
183044,NCAA,MBB
183044,NCAA,WBB
183044,NCAA,MTR
183044,NCAA,WTR
183062,NCAA,MBB
183062,NCAA,WBB
183062,NCAA,MBA
183062,NCAA,MTR
183062,NCAA,WTR
183080,NCAA,MFB
183080,NCAA,MBB
183080,NCAA,WBB
183080,NCAA,MBA
183080,NCAA,MTR
183080,NCAA,WTR
183211,NCAA,MBB
183211,NCAA,WBB
183211,NCAA,MBA
183211,NCAA,MTR
183211,NCAA,WTR
183239,NCAA,MFB
183239,NCAA,MBB
183239,NCAA,WBB
183239,NCAA,MBA
183239,NCAA,MTR
183239,NCAA,WTR
183822,NCAA,MBB
183822,NCAA,WBB
183822,NCAA,MBA
183822,NCAA,MTR
183822,NCAA,WTR
183910,NCAA,MBB
183910,NCAA,WBB
183910,NCAA,MBA
183910,NCAA,MTR
183910,NCAA,WTR
183974,NCAA,MFB
183974,NCAA,MBB
183974,NCAA,WBB
183974,NCAA,MBA
183974,NCAA,MTR
183974,NCAA,WTR
184348,NCAA,MBB
184348,NCAA,WBB
184348,NCAA,MBA
184348,NCAA,MTR
184348,NCAA,WTR
184603,NCAA,MBB
184603,NCAA,WBB
184603,NCAA,MBA
184603,NCAA,MTR
184603,NCAA,WTR
184612,NCAA,MBB
184612,NCAA,WBB
184612,NCAA,MBA
184612,NCAA,MTR
184612,NCAA,WTR
184694,NCAA,MFB
184694,NCAA,MBB
184694,NCAA,WBB
184694,NCAA,MBA
184694,NCAA,MTR
184694,NCAA,WTR
184773,NCAA,MBB
184773,NCAA,WBB
184773,NCAA,MTR
184773,NCAA,WTR
184782,NCAA,MFB
184782,NCAA,MBB
184782,NCAA,WBB
184782,NCAA,MBA
184782,NCAA,MTR
184782,NCAA,WTR
185129,NCAA,MBB
185129,NCAA,WBB
185129,NCAA,MBA
185129,NCAA,MTR
185129,NCAA,WTR
185262,NCAA,MFB
185262,NCAA,MBB
185262,NCAA,WBB
185262,NCAA,MBA
185262,NCAA,MTR
185262,NCAA,WTR
185572,NCAA,MFB
185572,NCAA,MBB
185572,NCAA,WBB
185572,NCAA,MBA
185572,NCAA,MTR
185572,NCAA,WTR
185590,NCAA,MFB
185590,NCAA,MBB
185590,NCAA,WBB
185590,NCAA,MBA
185590,NCAA,MTR
185590,NCAA,WTR
185828,NCAA,MBB
185828,NCAA,WBB
185828,NCAA,MBA
185828,NCAA,MTR
185828,NCAA,WTR
186131,NCAA,MFB
186131,NCAA,MBB
186131,NCAA,WBB
186131,NCAA,MBA
186131,NCAA,MTR
186131,NCAA,WTR
186201,NCAA,MBB
186201,NCAA,WBB
186201,NCAA,MBA
186201,NCAA,MTR
186201,NCAA,WTR
186283,NCAA,MBB
186283,NCAA,WBB
186283,NCAA,MBA
186283,NCAA,MTR
186283,NCAA,WTR
186371,NCAA,MBB
186371,NCAA,WBB
186371,NCAA,MBA
186371,NCAA,MTR
186371,NCAA,WTR
186380,NCAA,MFB
186380,NCAA,MBB
186380,NCAA,WBB
186380,NCAA,MBA
186380,NCAA,MTR
186380,NCAA,WTR
186399,NCAA,MBB
186399,NCAA,WBB
186399,NCAA,MBA
186399,NCAA,MTR
186399,NCAA,WTR
186432,NCAA,MBB
186432,NCAA,WBB
186432,NCAA,MBA
186432,NCAA,MTR
186432,NCAA,WTR
186584,NCAA,MBB
186584,NCAA,WBB
186584,NCAA,MBA
186584,NCAA,MTR
186584,NCAA,WTR
186618,NCAA,MBB
186618,NCAA,WBB
186618,NCAA,MBA
186618,NCAA,MTR
186618,NCAA,WTR
186867,NCAA,MFB
186867,NCAA,MBB
186867,NCAA,WBB
186867,NCAA,MBA
186867,NCAA,MTR
186867,NCAA,WTR
186876,NCAA,MBB
186876,NCAA,WBB
186876,NCAA,MBA
186876,NCAA,MTR
186876,NCAA,WTR
187134,NCAA,MFB
187134,NCAA,MBB
187134,NCAA,WBB
187134,NCAA,MBA
187134,NCAA,MTR
187134,NCAA,WTR
187444,NCAA,MFB
187444,NCAA,MBB
187444,NCAA,WBB
187444,NCAA,MBA
187648,NCAA,MFB
187648,NCAA,MBB
187648,NCAA,WBB
187648,NCAA,MBA
187648,NCAA,MTR
187648,NCAA,WTR
187897,NCAA,MFB
187897,NCAA,MBB
187897,NCAA,WBB
187897,NCAA,MBA
187897,NCAA,MTR
187897,NCAA,WTR
187985,NCAA,MFB
187985,NCAA,MBB
187985,NCAA,WBB
187985,NCAA,MBA
187985,NCAA,MTR
187985,NCAA,WTR
188030,NCAA,MFB
188030,NCAA,MBB
188030,NCAA,WBB
188030,NCAA,MBA
188030,NCAA,MTR
188030,NCAA,WTR
188058,NAIA,MBB
188058,NAIA,WBB
188058,NAIA,MTR
188058,NAIA,WTR
188182,NAIA,MBB
188182,NAIA,WBB
188182,NAIA,MBA
188182,NAIA,MTR
188182,NAIA,WTR
188304,NCAA,MFB
188304,NCAA,MBB
188304,NCAA,WBB
188304,NCAA,MTR
188304,NCAA,WTR
188429,NCAA,MBB
188429,NCAA,WBB
188429,NCAA,MBA
188429,NCAA,MTR
188429,NCAA,WTR
188641,NCAA,MFB
188641,NCAA,MBB
188641,NCAA,WBB
188641,NCAA,MTR
188641,NCAA,WTR
189088,NCAA,MBB
189088,NCAA,WBB
189088,NCAA,MBA
189088,NCAA,MTR
189088,NCAA,WTR
189097,NCAA,MBB
189097,NCAA,WBB
189097,NCAA,MTR
189097,NCAA,WTR
189705,NCAA,MBB
189705,NCAA,WBB
189705,NCAA,MBA
189705,NCAA,MTR
189705,NCAA,WTR
189848,NCAA,MBB
189848,NCAA,WBB
189848,NCAA,MBA
189848,NCAA,MTR
189848,NCAA,WTR
190044,NCAA,MBB
190044,NCAA,WBB
190044,NCAA,MBA
190044,NCAA,MTR
190044,NCAA,WTR
190099,NCAA,MFB
190099,NCAA,MBB
190099,NCAA,WBB
190099,NCAA,MTR
190099,NCAA,WTR
190150,NCAA,MFB
190150,NCAA,MBB
190150,NCAA,WBB
190150,NCAA,MBA
190150,NCAA,MTR
190150,NCAA,WTR
190415,NCAA,MFB
190415,NCAA,MBB
190415,NCAA,WBB
190415,NCAA,MBA
190415,NCAA,MTR
190415,NCAA,WTR
190512,NCAA,MBB
190512,NCAA,WBB
190512,NCAA,MBA
190512,NCAA,MTR
190512,NCAA,WTR
190549,NCAA,MBB
190549,NCAA,WBB
190549,NCAA,MTR
190549,NCAA,WTR
190558,NCAA,MBB
190558,NCAA,WBB
190558,NCAA,MBA
190558,NCAA,MTR
190558,NCAA,WTR
190567,NCAA,MBB
190567,NCAA,WBB
190567,NCAA,MBA
190567,NCAA,MTR
190567,NCAA,WTR
190594,NCAA,MBB
190594,NCAA,WBB
190594,NCAA,MTR
190594,NCAA,WTR
190600,NCAA,MBB
190600,NCAA,WBB
190600,NCAA,MBA
190600,NCAA,MTR
190600,NCAA,WTR
190637,NCAA,MBB
190637,NCAA,WBB
190637,NCAA,MBA
190637,NCAA,MTR
190637,NCAA,WTR
190646,NCAA,MBB
190646,NCAA,WBB
190646,NCAA,MTR
190646,NCAA,WTR
190655,NCAA,MBB
190655,NCAA,WBB
190655,NCAA,MTR
190655,NCAA,WTR
190664,NCAA,MBB
190664,NCAA,WBB
190664,NCAA,MBA
190664,NCAA,MTR
190664,NCAA,WTR
190691,NCAA,MBB
190691,NCAA,WBB
190691,NCAA,MTR
190691,NCAA,WTR
190716,NCAA,MBB
190716,NCAA,WBB
190716,NCAA,MBA
190716,NCAA,MTR
190716,NCAA,WTR
190725,NCAA,MBB
190725,NCAA,WBB
190725,NCAA,MTR
190725,NCAA,WTR
190761,NCAA,MBB
190761,NCAA,WBB
190761,NCAA,MBA
190761,NCAA,MTR
190761,NCAA,WTR
190983,NCAA,MBB
190983,NCAA,WBB
190983,NCAA,MBA
191241,NCAA,MFB
191241,NCAA,MBB
191241,NCAA,WBB
